OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
31,32,37,X,X,X,R,C,X,X,X,X,C,X,P,P,X,P,X,X,X,C,X,X,C,X,X,X,X,X,X,C,X,C,X,P,X,X,X,X,P,X,X,X,X,P,X,X,X,P,X,X,P,X,C,X,X,X,P,X,C,X,C,X,X,X,X,C,X,X,X,X,X,R,X,X,X,X,X,X,P,R,X,R,X,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,C,X,X,C,C,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,R,R,R,X,P,P,X,X,P,X,P,X,X,X,X,X,C,X,X,P,R,X,X,X,X,X,R,R,X,P,X,X,X,X,X,X,R,X,X,C,X,X,X,R,X,X,X,X,X,16,14,16,46
32,33,32,X,X,X,X,P,X,P,X,C,C,X,C,X,C,X,X,R,P,C,X,R,R,C,X,R,R,X,P,P,C,X,P,X,X,C,X,R,P,R,X,X,X,C,X,X,X,R,X,X,R,P,C,P,C,X,C,R,C,R,X,X,X,X,X,R,X,X,X,X,R,X,C,R,X,X,X,X,R,C,R,P,X,X,X,P,X,X,X,R,X,X,X,X,X,X,X,X,X,R,X,X,R,R,X,X,P,X,X,R,X,X,X,R,R,C,X,X,C,C,X,C,X,X,X,R,X,R,R,R,X,R,X,X,X,X,X,R,X,X,R,P,X,X,X,R,X,X,X,X,R,X,R,X,X,X,X,X,R,X,R,R,X,X,R,C,X,X,X,X,20,37,13,70
33,34,33,X,X,X,P,P,X,X,X,X,C,X,X,P,X,X,X,X,X,C,X,P,R,X,X,P,X,P,X,P,P,X,X,R,X,X,X,P,P,C,X,X,X,C,X,X,X,P,X,X,X,X,P,X,X,X,R,X,C,X,X,X,X,X,X,R,X,C,X,X,X,X,X,X,X,X,X,X,C,C,P,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,C,X,X,X,X,X,C,X,P,X,X,X,X,X,X,R,X,X,P,X,X,X,P,X,X,X,P,X,R,X,X,X,X,X,C,X,X,X,P,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,P,X,X,X,X,X,11,6,24,41
34,35,36,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,C,X,R,X,R,X,X,C,X,X,X,X,C,R,X,C,X,X,X,X,X,X,C,X,X,X,C,X,X,C,X,X,X,X,X,C,R,C,C,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,C,X,X,C,C,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,C,X,R,R,X,X,X,X,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,P,C,X,X,R,X,X,R,X,X,X,X,X,20,13,2,35
35,36,34,X,X,X,C,X,X,P,X,X,C,X,C,C,X,P,X,R,R,C,X,X,C,X,X,P,X,R,P,X,P,X,X,X,X,P,X,P,X,R,X,X,X,R,X,X,X,C,X,X,R,C,R,P,R,R,C,R,C,C,X,X,X,X,X,C,X,X,X,X,R,X,R,R,X,X,X,X,R,R,R,R,P,X,X,P,X,X,X,X,X,R,X,X,R,X,X,X,X,R,X,X,C,R,X,X,P,X,X,R,X,X,X,R,X,X,X,X,P,X,R,C,X,C,X,P,X,X,C,C,X,R,X,X,X,X,X,C,X,X,X,R,X,X,X,R,X,X,P,X,R,X,X,X,X,X,X,C,C,X,R,R,X,X,C,X,X,X,X,X,21,30,14,65
36,37,35,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,C,X,X,X,X,X,R,X,C,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,R,R,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,3,13,7,23
37,38,38,X,X,X,C,R,X,X,X,R,C,X,X,R,X,X,X,C,C,C,X,P,C,P,X,C,X,X,R,X,P,X,R,X,X,R,X,C,X,C,X,X,X,R,X,X,X,R,X,X,R,C,P,X,R,X,C,R,C,X,X,X,X,X,X,C,X,X,X,X,R,X,X,P,X,X,X,X,R,C,R,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,X,X,R,X,X,X,R,P,X,X,X,R,P,X,R,X,X,X,P,X,X,P,C,X,R,X,X,X,X,X,R,X,X,X,X,X,X,X,R,X,X,X,R,C,X,X,X,X,X,X,X,R,P,P,R,X,X,R,P,X,X,X,X,18,25,13,56
38,39,39,R,X,P,C,R,X,X,X,R,C,X,X,R,P,X,P,C,R,C,X,P,C,R,X,R,X,X,P,R,R,X,P,X,X,P,X,R,R,C,X,X,X,C,X,X,X,R,X,X,P,C,R,X,C,X,R,R,C,P,X,X,X,X,X,C,X,X,X,X,R,X,R,P,X,X,X,X,P,R,R,P,X,X,X,C,X,X,X,P,X,X,X,X,R,X,X,X,X,P,X,X,R,C,X,X,P,X,X,C,X,P,X,X,P,X,X,X,C,X,X,R,X,X,X,R,X,X,X,R,X,C,X,X,X,X,R,C,X,X,X,P,X,X,X,R,X,X,R,X,R,X,X,X,X,X,X,R,C,X,C,X,X,X,R,C,X,X,X,X,20,30,18,68
39,40,40,X,X,X,P,X,X,X,X,C,C,X,X,P,X,X,C,R,X,R,X,R,R,C,X,R,R,P,R,X,R,X,X,X,X,P,C,R,P,R,X,X,X,R,X,X,X,R,X,X,R,X,R,X,R,X,R,C,P,R,X,X,X,X,X,R,X,X,X,X,C,X,X,P,X,X,X,X,X,R,R,P,X,X,X,C,X,X,X,R,X,P,X,X,P,X,X,X,X,R,X,X,P,C,P,X,X,X,X,R,X,R,X,X,P,X,X,R,C,X,P,R,X,X,X,R,X,X,X,R,X,R,X,P,X,X,X,C,X,X,X,P,X,X,X,R,X,X,X,X,P,X,X,X,X,X,X,X,R,X,P,R,X,X,R,R,X,X,X,X,11,34,18,63
40,41,41,X,X,X,P,R,X,P,X,P,C,X,P,P,X,P,P,X,P,C,X,R,R,X,X,P,X,P,R,X,X,C,X,X,X,P,X,X,P,C,X,X,X,P,X,X,X,R,X,X,R,X,R,P,R,R,C,R,P,X,X,X,X,X,X,R,X,X,X,C,X,R,C,X,X,X,X,X,X,C,R,X,X,X,X,X,X,X,X,P,X,P,X,X,P,X,X,X,X,R,X,X,R,C,X,X,X,X,X,R,X,R,X,X,X,X,X,R,R,X,C,C,X,R,X,X,C,X,C,P,X,R,X,X,X,X,X,R,X,P,C,C,X,X,X,R,X,X,X,X,P,X,X,X,X,X,X,C,P,X,R,C,X,X,P,P,X,X,X,X,17,24,24,65
41,42,42,X,X,X,P,P,X,C,X,X,C,R,X,X,X,X,X,X,X,P,X,X,R,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,P,X,X,X,R,X,X,X,P,X,X,X,X,X,C,P,X,P,P,C,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,P,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,P,X,X,P,P,X,X,X,X,X,P,X,X,X,R,P,X,X,X,P,X,C,R,X,C,X,P,X,X,X,P,X,R,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,P,P,X,X,P,X,X,X,X,X,6,9,25,40
42,43,43,X,X,X,P,P,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,C,R,X,X,X,R,X,R,X,R,X,X,C,X,R,X,X,X,R,X,C,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,C,R,X,C,X,X,X,X,X,X,X,X,P,X,X,P,C,X,X,X,R,X,X,C,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,R,R,X,P,X,X,X,R,X,P,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,X,P,X,P,X,X,X,X,P,X,P,R,X,R,X,X,X,R,X,X,X,X,X,11,21,10,42
43,44,44,X,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,C,C,X,X,X,X,X,P,X,X,X,P,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,C,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,P,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,14,7,3,24
44,45,45,X,X,X,R,R,X,X,X,X,C,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,P,X,X,X,R,X,X,X,C,X,X,R,X,X,X,X,X,C,X,C,X,X,X,X,X,X,C,X,X,X,X,X,P,P,X,X,X,X,X,R,C,P,X,C,X,X,X,X,X,X,X,X,C,X,X,R,R,X,X,X,C,X,X,R,C,X,X,X,X,X,X,X,X,X,X,P,X,X,X,P,X,R,C,P,R,X,X,C,X,X,X,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,C,X,C,X,X,X,C,X,X,X,X,X,18,11,9,38
45,46,46,X,X,X,C,R,X,X,X,R,C,X,X,R,X,X,X,R,P,R,X,X,R,C,X,C,P,X,P,X,P,X,P,X,X,R,X,R,R,C,X,X,X,C,X,X,X,R,X,X,P,C,C,X,C,X,R,P,C,P,X,X,X,X,X,C,X,X,X,X,P,P,P,P,X,X,X,X,R,R,R,R,X,X,X,P,X,X,X,X,X,X,X,X,P,X,X,X,P,R,X,X,P,C,X,X,P,X,X,C,X,P,X,X,P,X,X,X,R,P,P,R,X,X,X,R,P,X,X,R,X,R,X,X,X,X,X,R,X,X,X,P,X,X,X,R,X,X,X,X,C,X,X,X,X,X,X,X,P,X,R,C,X,X,R,C,X,X,X,X,16,25,24,65
46,47,47,X,X,X,C,P,X,P,X,R,C,X,C,C,P,X,X,C,P,C,X,R,R,P,X,R,X,R,R,X,C,X,P,X,X,R,X,P,P,R,X,X,X,C,X,X,X,C,X,X,C,X,P,X,C,X,C,P,C,P,X,X,X,X,X,C,X,X,X,X,C,X,C,R,X,X,X,X,R,C,R,X,X,X,X,P,X,X,X,C,X,X,X,X,R,X,X,X,X,R,C,X,P,R,X,X,R,X,X,C,X,R,X,P,R,C,X,P,C,P,X,R,X,R,X,C,X,X,P,C,X,R,X,X,X,X,R,C,X,X,P,C,X,C,X,C,X,X,X,X,C,X,R,X,X,X,P,X,C,X,R,P,X,X,R,P,X,X,X,X,30,24,21,75
47,48,48,X,X,P,C,R,X,C,X,C,C,R,X,C,X,R,R,C,P,C,X,R,C,C,X,C,C,R,C,C,C,C,R,X,X,C,X,C,R,C,X,X,X,C,X,X,X,C,X,X,R,X,R,C,C,X,C,R,C,C,X,X,X,R,X,C,X,X,X,C,R,C,C,R,X,X,X,X,C,C,C,C,X,X,X,C,X,X,X,R,X,C,X,X,C,X,X,X,C,C,X,X,R,C,P,X,R,X,X,C,X,R,X,C,C,X,X,P,C,X,C,C,X,X,X,C,P,R,C,C,X,C,X,X,X,X,R,C,X,X,X,R,X,X,X,C,X,X,P,R,C,X,X,X,X,X,X,R,C,X,C,R,X,X,C,R,X,X,X,X,55,25,6,86
48,49,49,X,X,X,P,X,X,X,X,X,C,X,X,X,X,X,X,P,P,R,X,P,P,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,R,R,X,X,X,P,X,X,X,P,X,X,P,X,R,X,X,X,R,P,C,P,X,X,X,X,X,R,X,X,X,X,P,X,X,P,X,X,X,X,P,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,P,X,X,X,X,X,R,X,R,X,P,X,X,X,P,R,X,X,X,X,X,X,P,X,X,X,P,X,P,X,X,X,X,X,P,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,C,P,X,X,P,X,X,X,X,X,X,X,X,3,9,30,42
49,50,50,X,X,X,P,X,X,X,X,R,C,X,X,C,X,P,X,R,X,C,X,X,R,P,X,R,C,P,X,C,X,C,X,X,X,X,X,P,R,C,X,X,X,C,X,X,X,C,X,X,X,X,R,R,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,X,P,X,X,X,X,R,C,C,X,X,X,X,P,X,X,X,R,X,C,X,X,R,C,X,X,X,R,X,X,C,C,X,X,X,X,X,R,X,R,X,X,R,X,X,X,R,X,X,C,X,X,X,R,P,X,X,C,X,R,X,X,X,X,X,C,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,R,R,X,R,P,X,X,R,X,X,X,X,X,21,27,9,57
50,51,51,X,X,X,X,P,X,P,X,X,R,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,X,X,P,X,X,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,X,P,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,C,X,X,X,X,X,8,7,4,19
51,52,52,X,X,X,R,P,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,P,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,R,X,C,X,X,X,X,X,X,R,X,X,X,X,X,P,X,X,X,X,X,X,C,C,R,X,X,X,X,X,X,X,X,X,X,C,X,X,R,X,X,X,X,C,X,X,R,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,R,P,C,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,10,11,11,32
52,53,53,X,X,C,R,R,X,P,X,X,C,X,X,R,X,R,X,X,X,C,X,X,C,X,X,X,X,X,X,R,R,X,X,P,X,X,X,X,R,X,C,X,X,C,X,X,C,R,X,X,R,X,R,X,X,X,R,X,C,P,X,X,X,X,X,R,X,X,X,X,X,X,R,X,X,X,X,X,C,R,R,X,C,X,X,X,X,X,X,X,X,C,X,C,C,X,X,X,X,C,X,X,C,C,X,X,X,X,X,X,X,X,X,R,X,X,X,X,P,X,X,C,X,R,X,X,X,X,X,X,X,X,C,X,C,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,C,X,X,X,R,X,X,X,X,X,23,18,5,46
53,54,54,X,X,C,P,P,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,P,P,C,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,P,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,C,C,X,X,C,X,X,X,X,X,X,R,P,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,C,X,X,X,X,X,16,5,7,28
54,55,64,X,X,R,P,X,X,X,X,X,C,X,X,X,X,X,X,R,P,R,X,X,X,X,X,R,X,P,X,X,C,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,R,X,X,R,X,X,R,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,P,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,R,X,X,R,X,X,X,X,X,X,R,X,X,X,R,P,X,X,X,X,X,X,R,C,X,X,R,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,R,X,X,C,X,X,X,X,X,X,X,X,X,R,X,R,P,X,X,X,X,X,X,X,X,7,19,7,33
55,56,55,X,X,X,C,C,X,X,X,R,C,X,C,C,X,P,X,R,P,C,X,P,C,R,X,C,X,P,P,P,R,P,X,P,X,R,X,R,P,C,X,P,X,C,X,X,X,C,C,X,P,X,C,X,C,X,R,R,C,P,X,X,X,X,X,C,X,X,X,X,R,R,P,R,X,X,X,X,C,C,C,X,X,X,X,R,X,X,X,P,X,C,X,X,R,X,X,X,R,R,X,X,C,C,X,X,P,X,X,C,X,P,X,X,R,X,X,X,C,P,P,C,X,X,X,P,C,P,X,R,X,R,X,X,X,X,X,C,X,P,R,C,X,X,X,R,X,X,C,R,P,R,X,X,X,X,X,X,C,X,C,P,X,X,R,R,X,X,X,X,31,24,23,78
56,57,63,X,X,C,C,R,X,R,X,C,C,X,X,C,X,R,X,X,R,C,X,X,C,X,X,X,P,X,X,C,C,X,X,C,X,R,X,X,R,C,X,X,X,C,X,X,X,C,X,X,C,X,C,X,P,X,C,C,C,C,X,X,X,X,X,C,X,X,X,C,R,P,R,X,X,X,X,X,C,C,C,X,C,X,X,X,X,X,X,X,X,C,X,X,C,C,X,X,R,C,X,X,C,C,X,X,X,R,X,X,X,X,X,X,C,X,X,X,R,X,X,C,C,C,X,C,C,C,R,R,X,R,X,X,C,X,X,C,X,X,X,C,X,X,X,R,X,X,C,X,C,C,X,X,X,R,X,X,X,X,C,C,X,X,C,X,X,X,X,X,47,16,3,66
57,58,56,P,X,X,C,R,X,C,X,C,C,X,X,C,R,R,X,C,R,C,X,P,C,C,X,C,R,R,C,R,C,R,C,X,X,P,X,C,R,C,X,C,X,C,X,X,X,C,X,X,R,C,R,C,C,X,C,C,C,R,X,X,X,X,X,C,X,X,X,R,P,P,P,C,X,X,P,X,C,C,C,X,P,X,X,P,X,X,X,R,X,R,X,X,R,X,X,X,X,R,X,X,C,C,X,X,R,X,X,C,X,R,X,R,P,X,X,X,C,P,P,C,X,R,X,C,X,R,C,C,X,C,X,X,X,X,P,R,X,X,X,C,X,X,X,R,X,X,X,P,R,X,X,X,X,X,X,X,C,C,C,P,X,X,C,P,X,X,X,X,43,25,16,84
58,59,62,X,X,C,C,C,X,X,X,R,C,X,X,C,X,C,X,X,R,C,X,X,C,X,X,C,X,X,X,R,C,X,X,C,X,R,X,X,R,R,X,X,X,C,X,X,X,R,X,X,C,X,C,X,X,R,C,R,C,P,X,X,X,X,X,C,X,X,X,X,C,C,C,X,X,X,X,X,C,C,C,X,C,X,X,X,X,X,X,X,X,C,X,X,C,C,X,X,X,C,X,X,C,C,X,X,X,C,X,X,X,X,X,R,C,X,X,X,C,X,X,C,C,C,X,C,C,R,X,R,X,C,X,X,C,X,X,C,X,X,X,C,X,X,X,X,X,X,C,X,R,R,X,X,X,X,X,C,R,X,C,R,X,X,C,X,X,X,X,X,46,16,1,63
59,60,57,R,X,X,C,R,X,X,X,C,C,X,P,R,C,P,X,R,C,C,X,P,R,X,X,C,X,P,P,C,C,X,P,P,X,X,X,P,P,C,X,X,X,C,X,X,X,R,X,X,C,X,P,X,C,X,C,C,P,C,X,X,X,X,X,C,X,X,X,P,R,X,C,R,X,X,X,X,R,P,C,X,X,X,X,X,X,X,X,C,X,X,X,X,R,X,X,X,X,P,X,X,P,C,X,X,R,X,X,C,X,C,X,C,X,X,R,X,C,X,P,R,X,X,X,R,C,X,R,C,X,C,X,X,X,X,P,C,X,X,X,R,X,X,X,R,X,X,X,P,C,P,X,X,X,X,X,X,C,P,C,P,X,R,C,C,X,X,X,X,34,18,21,73
60,61,61,X,X,P,C,R,X,X,X,X,C,X,X,R,X,X,X,X,X,R,X,X,C,X,X,X,X,X,X,R,R,C,X,C,X,X,X,X,R,R,X,X,X,C,X,X,X,R,X,X,C,X,C,X,X,C,C,P,C,P,X,X,X,X,X,C,X,X,X,X,P,R,X,X,X,X,X,X,C,C,R,X,X,X,X,X,X,X,X,X,X,R,X,C,C,X,X,X,X,C,X,X,C,C,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,C,C,R,C,X,X,X,X,X,X,X,X,X,X,P,X,X,C,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,C,X,X,X,X,X,25,14,5,44
61,62,58,X,X,X,P,X,X,X,X,R,C,X,X,C,X,X,X,P,X,R,X,X,C,X,X,P,X,X,X,R,R,C,X,X,X,P,X,X,R,R,X,X,X,C,X,X,X,R,X,X,X,X,R,X,R,X,R,R,P,R,X,X,X,X,X,C,X,X,X,P,R,X,X,P,X,X,X,X,R,P,R,X,X,X,X,X,X,X,X,X,X,C,X,X,R,X,X,X,X,P,X,X,R,C,X,X,X,X,X,R,X,C,X,R,X,X,X,X,R,X,X,C,X,X,X,R,R,X,X,R,X,R,X,X,X,X,R,C,X,X,X,P,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,R,X,R,X,X,X,R,X,X,X,X,X,11,30,10,51
62,63,60,X,X,C,R,R,X,C,X,X,C,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,P,X,X,X,C,X,X,X,P,X,X,P,X,P,X,X,X,C,P,C,P,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,P,X,X,R,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,C,X,X,C,P,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,C,C,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,R,R,X,X,C,X,X,X,X,X,R,X,X,P,X,X,X,X,X,X,C,X,X,R,X,X,X,P,X,X,X,X,X,14,14,11,39
63,64,59,X,X,C,C,R,X,R,X,C,C,R,X,C,X,C,R,R,R,C,X,R,C,X,X,C,C,C,R,C,C,X,R,X,X,R,X,R,C,C,X,X,X,R,X,X,X,R,X,X,R,X,C,R,C,X,C,R,C,C,X,X,X,C,X,C,X,X,X,X,R,P,R,R,X,X,X,X,C,C,X,R,C,X,X,R,X,X,X,R,X,C,X,X,R,X,X,X,C,C,X,X,C,C,X,X,P,X,X,C,X,C,X,R,R,X,X,R,C,X,R,C,X,X,X,C,C,X,C,C,X,C,X,X,X,X,X,C,X,X,X,C,X,X,X,R,X,X,C,R,R,X,X,X,X,X,X,C,C,X,C,R,X,X,C,C,X,X,X,X,47,31,2,80
