OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
64,65,75,X,X,X,X,X,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,5,7
65,66,74,X,X,P,C,C,X,X,R,R,C,C,X,C,X,X,X,X,P,C,X,X,P,X,X,R,X,X,X,R,X,C,X,R,X,X,X,X,P,C,X,X,X,C,X,X,C,C,X,X,R,X,R,X,X,P,C,P,C,X,X,X,X,X,X,C,X,X,X,R,R,P,X,X,X,X,X,X,C,C,R,X,C,X,X,X,C,X,X,X,X,R,X,X,C,X,X,X,X,C,X,X,R,C,X,X,X,X,X,P,X,X,X,R,X,X,X,X,P,X,X,C,C,X,X,C,C,X,X,C,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,P,X,X,X,X,R,R,X,X,X,X,X,R,R,X,C,X,X,X,P,X,X,X,X,X,29,17,11,57
66,67,73,X,X,C,C,R,X,X,X,P,C,X,X,C,X,X,X,P,R,C,X,X,C,X,X,X,X,X,X,X,R,C,X,R,X,P,X,X,R,R,X,X,X,R,X,X,X,C,X,X,C,X,C,X,X,P,X,P,C,X,X,X,X,X,X,R,X,X,X,X,R,R,P,X,X,X,X,X,C,C,R,X,R,X,X,X,X,X,X,X,X,C,X,X,C,C,X,X,X,C,X,X,R,C,X,X,X,R,X,X,X,X,X,X,X,X,X,X,R,X,X,C,P,R,X,P,X,C,X,R,X,X,R,X,C,X,X,R,X,X,X,R,X,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,P,X,C,X,X,X,R,X,X,X,X,X,22,23,9,54
67,68,72,X,X,X,C,P,X,X,X,X,R,X,X,X,X,X,X,X,X,R,X,X,P,X,X,X,X,X,X,P,X,X,X,P,X,X,X,X,X,P,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,C,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,2,5,12,19
68,69,71,X,X,X,C,R,X,X,X,X,C,X,X,C,X,P,X,X,X,C,X,X,C,X,X,X,X,X,X,R,P,X,X,X,X,P,X,X,R,P,X,X,X,C,X,X,X,R,X,X,P,X,C,X,X,X,R,R,C,C,R,X,X,X,X,C,X,X,X,X,P,X,R,X,X,X,X,X,C,R,C,X,X,X,X,X,X,X,X,X,X,R,X,C,R,X,X,X,X,C,X,X,R,C,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,R,C,R,X,X,X,X,X,R,X,X,X,X,R,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,X,17,19,6,42
69,70,70,X,X,R,C,R,X,P,X,R,C,X,X,R,X,X,X,R,C,C,X,X,C,X,X,C,R,R,X,C,C,C,X,R,X,P,X,R,P,R,X,X,X,C,X,X,X,C,X,X,C,X,C,R,P,X,C,R,C,R,X,X,X,X,X,C,X,X,X,X,C,P,C,X,X,X,X,X,C,C,C,C,X,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,R,C,X,X,C,C,X,X,P,X,X,R,X,X,X,R,R,X,X,X,C,X,C,C,R,R,X,R,P,P,C,C,X,C,X,X,X,X,X,C,X,P,X,P,X,X,X,R,X,X,P,P,C,P,X,X,X,X,X,X,C,X,P,R,X,X,R,X,X,X,X,X,36,23,14,73
70,71,69,X,X,P,C,R,X,X,X,X,C,X,P,P,P,R,X,P,X,P,X,X,C,X,X,P,X,P,X,R,P,X,X,X,X,X,X,P,P,R,X,X,X,C,X,X,X,R,X,X,P,X,R,X,P,X,R,P,C,P,X,X,X,X,X,C,X,X,X,X,P,X,X,X,X,X,X,X,C,C,R,X,C,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,P,X,X,R,R,R,X,X,X,X,R,X,X,X,P,X,X,X,P,R,X,X,C,P,R,X,X,R,X,X,R,X,P,X,X,X,X,X,C,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,X,R,X,X,X,C,X,X,X,X,X,12,22,21,55
71,72,68,X,X,X,C,P,X,P,X,X,C,X,P,R,X,C,X,C,X,R,X,X,C,X,X,X,X,R,X,C,P,X,X,X,X,X,X,P,P,R,X,X,X,C,X,X,X,R,X,X,R,X,R,X,R,X,C,R,C,R,X,X,X,X,X,R,X,X,X,X,R,P,X,P,X,X,X,X,R,C,R,X,C,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,R,X,X,C,C,X,X,X,X,X,R,X,R,X,C,P,X,X,X,R,X,P,C,X,P,X,X,R,X,X,P,X,P,X,X,X,X,X,R,X,X,R,R,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,P,X,X,P,X,X,X,R,X,X,X,X,X,15,27,15,57
72,73,67,X,X,X,C,R,X,X,X,P,C,X,X,X,X,X,X,C,P,C,X,P,R,P,X,R,X,C,X,C,P,X,X,P,X,P,X,P,R,R,X,X,X,C,X,X,X,R,X,X,R,X,R,X,P,X,C,R,C,R,X,X,X,X,X,C,X,X,X,R,R,X,R,C,X,X,X,X,R,C,R,X,X,X,X,P,X,X,X,X,X,X,X,X,R,X,X,P,X,P,X,X,R,C,X,X,X,X,X,C,X,R,X,R,P,X,X,X,R,R,P,R,X,P,X,C,P,P,C,C,X,C,X,X,X,X,X,R,X,X,P,C,X,X,X,R,X,X,R,X,C,P,X,X,X,X,X,X,R,P,C,P,X,X,C,P,X,X,X,X,22,26,22,70
73,74,66,P,X,X,C,R,X,X,X,X,C,X,X,R,C,C,X,C,R,C,X,P,C,C,X,C,C,P,X,P,C,C,X,X,X,C,X,R,R,C,X,X,X,R,X,X,X,C,X,X,R,C,R,C,C,X,C,R,C,P,X,X,X,X,X,C,X,X,X,X,R,X,P,C,X,X,X,X,R,R,C,P,X,X,X,P,X,X,X,X,X,C,X,X,R,X,X,X,X,R,P,X,C,C,X,X,X,X,X,R,X,C,X,R,R,C,X,X,C,X,P,R,X,X,X,P,X,X,X,C,X,C,X,X,X,X,X,P,X,X,P,R,X,X,X,C,X,X,X,P,C,X,X,X,X,X,X,X,R,X,R,P,X,X,C,C,X,X,X,X,35,21,15,71
74,75,65,X,X,X,C,R,X,P,X,P,C,R,C,C,C,C,X,C,R,C,X,R,C,C,X,P,P,R,C,C,C,C,X,X,X,C,X,X,R,C,X,X,X,C,X,X,X,C,X,X,C,C,C,X,C,X,C,C,C,C,X,X,X,X,X,C,X,X,X,X,R,R,C,C,X,X,X,X,R,C,C,P,R,X,X,P,X,X,X,X,X,R,X,X,C,X,X,C,R,C,X,X,R,C,X,X,X,X,X,C,X,C,X,C,R,C,X,R,C,R,R,R,X,X,X,C,X,P,C,C,C,R,X,X,X,X,R,R,X,X,R,C,P,X,X,R,X,X,X,R,C,X,X,X,X,X,X,C,P,X,R,R,X,C,C,R,X,X,X,X,49,27,9,85
75,76,86,X,X,X,P,X,X,X,X,X,C,X,X,X,X,X,X,R,X,P,X,X,R,X,X,X,X,C,X,X,C,X,X,R,X,X,X,X,X,P,X,X,X,C,X,X,X,R,X,X,X,X,X,X,P,X,C,X,C,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,R,X,C,X,P,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,P,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,R,X,X,X,X,P,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,P,X,X,X,X,X,P,X,X,X,X,X,10,10,10,30
76,77,85,X,X,X,P,P,X,P,R,X,C,X,X,R,X,X,X,C,X,C,X,X,R,X,X,C,X,C,X,X,P,X,X,R,X,P,X,P,P,P,X,X,X,R,X,X,C,C,X,X,R,X,X,X,R,X,C,P,C,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,X,X,R,X,R,X,R,P,P,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,C,P,X,X,X,P,X,X,X,X,X,R,X,X,X,P,P,X,X,X,R,X,P,R,X,X,X,X,X,P,X,R,X,R,X,X,R,X,X,P,X,X,X,X,X,X,X,R,X,R,C,P,P,C,X,X,X,X,X,X,R,R,R,X,X,X,R,X,X,X,X,X,12,26,20,58
77,78,84,X,X,X,R,R,X,X,C,X,C,X,X,R,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,C,R,X,X,X,C,X,X,C,R,X,X,P,X,X,X,X,X,P,X,C,X,X,X,X,X,X,R,X,X,X,X,X,R,X,X,X,X,X,X,P,R,X,X,P,X,X,X,C,X,X,X,X,C,X,X,R,X,X,X,X,R,X,X,P,P,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,R,R,R,X,X,R,X,X,P,X,X,P,X,P,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,P,X,X,X,X,R,X,X,X,R,X,X,X,X,X,10,18,11,39
78,79,83,X,X,C,R,R,X,P,X,R,R,X,X,C,X,X,X,X,X,C,X,X,R,X,X,X,X,X,X,R,X,X,X,C,X,R,X,P,X,X,X,X,X,C,X,X,X,C,X,X,P,X,R,X,X,R,C,P,C,R,X,X,X,X,X,C,X,X,X,X,P,X,X,X,X,X,X,X,R,X,R,X,X,X,X,X,C,X,X,X,X,X,X,X,P,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,R,X,X,C,R,C,X,X,X,X,X,C,X,X,X,X,R,X,X,C,X,X,C,P,X,X,X,R,X,X,X,X,P,R,X,X,X,X,X,X,R,X,C,X,X,X,R,X,X,X,X,X,16,22,9,47
79,80,82,X,X,X,C,R,X,X,X,X,C,X,C,C,X,X,X,R,X,R,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,C,X,X,X,P,X,X,X,X,P,X,P,X,C,P,C,X,X,X,X,X,X,C,X,X,X,X,P,R,X,X,X,X,X,X,C,C,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,R,X,X,C,R,X,X,X,X,X,P,X,R,X,X,X,R,X,X,R,X,X,R,X,X,X,X,X,X,X,X,X,P,R,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,X,R,X,X,X,C,X,X,X,X,X,15,15,11,41
80,81,81,X,X,C,C,P,X,C,X,X,C,R,C,C,X,R,X,X,X,C,X,X,C,X,X,R,X,R,X,P,P,C,X,C,X,R,X,P,C,C,X,X,X,C,X,X,X,R,X,X,C,X,R,X,C,R,C,P,C,P,X,X,X,X,X,C,X,X,X,X,C,R,P,X,X,X,X,X,C,C,C,X,P,X,X,X,X,X,X,X,X,C,X,X,R,X,X,X,X,C,X,X,R,C,X,X,X,C,X,R,X,C,X,R,P,X,X,X,R,X,C,C,X,R,X,X,R,R,X,C,X,R,X,X,X,X,X,C,X,P,X,P,X,X,X,R,X,X,R,X,P,X,X,X,X,X,X,C,P,X,R,X,X,X,C,X,X,X,X,X,33,21,13,67
81,82,80,X,X,X,C,R,X,C,X,R,C,X,X,C,X,X,X,R,P,C,X,X,R,X,X,R,X,P,X,R,P,X,X,X,X,R,X,P,P,C,X,X,X,C,X,X,X,C,X,X,C,X,C,X,R,X,R,R,C,C,X,X,X,X,X,C,X,X,X,X,R,X,X,X,X,X,X,X,C,C,C,R,C,X,X,X,X,X,X,X,X,P,X,X,R,X,X,X,X,R,X,X,C,R,X,X,X,X,X,R,X,R,X,R,P,X,X,X,C,X,X,C,X,X,X,P,X,X,X,R,X,R,X,X,X,X,X,C,X,X,X,C,X,X,X,P,X,X,X,X,P,P,X,X,X,X,X,X,R,X,R,R,X,X,C,X,X,X,X,X,23,23,11,57
82,83,79,X,X,X,C,R,X,R,X,R,C,X,C,C,P,R,X,C,R,C,X,R,R,R,X,P,C,R,R,R,R,X,X,X,X,R,X,X,X,C,X,X,X,C,X,X,X,R,X,X,R,X,C,C,C,X,R,R,C,C,X,X,X,X,R,R,X,X,X,X,C,X,C,R,X,X,X,C,C,R,R,R,R,X,X,P,X,X,X,X,X,C,X,X,C,X,X,R,X,R,X,X,R,R,X,X,R,X,X,C,X,R,X,R,R,X,X,R,R,P,R,C,X,X,X,P,C,C,R,C,C,R,X,X,X,X,R,C,X,R,C,C,X,X,R,R,X,X,R,R,R,X,R,X,X,X,X,R,R,P,C,R,X,R,C,P,X,X,X,X,31,49,7,87
83,84,78,X,X,X,R,X,X,X,X,P,C,X,P,P,X,X,X,P,X,R,X,X,C,X,X,C,X,X,X,R,X,C,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,R,X,X,P,C,R,X,X,X,R,P,C,C,X,X,X,X,X,C,X,X,X,X,R,X,X,P,X,X,X,X,P,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,R,X,X,X,C,X,X,X,X,X,C,X,R,X,P,X,C,X,X,P,X,X,R,X,X,X,X,X,X,X,R,X,R,X,X,X,X,X,P,X,X,C,P,X,X,X,R,X,X,X,P,P,X,X,X,X,X,X,P,P,X,X,P,X,X,X,X,X,X,X,X,15,14,17,46
84,85,77,X,X,X,R,P,X,X,X,R,C,R,X,C,P,X,X,R,R,C,X,X,R,R,X,R,X,X,X,P,R,X,P,X,X,P,X,X,P,C,X,C,X,R,X,X,X,P,X,X,X,R,P,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,X,R,X,X,X,X,R,R,R,X,P,X,X,R,X,X,X,P,X,X,X,X,R,X,X,X,X,P,X,X,R,C,X,X,C,X,X,R,X,C,X,R,X,X,X,X,C,X,X,R,X,X,X,P,X,X,P,R,X,C,X,X,X,X,P,R,X,X,X,X,X,X,X,R,X,X,X,X,C,X,X,X,X,X,X,X,R,X,P,P,X,X,P,C,X,X,X,X,15,29,17,61
85,86,76,X,X,X,R,P,X,X,X,R,C,X,C,C,P,C,X,P,P,C,X,R,R,P,X,P,X,X,P,P,C,R,P,X,X,P,X,P,X,C,X,X,X,C,X,X,X,R,X,X,P,C,C,X,C,X,R,C,C,P,X,X,X,X,X,R,X,X,X,P,R,X,X,R,X,X,X,X,P,R,C,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,P,R,X,X,C,X,X,C,X,R,X,P,P,X,X,P,P,R,X,P,X,X,X,X,P,X,C,C,X,R,X,X,X,X,P,C,X,X,R,C,P,X,X,R,X,X,X,R,C,X,X,X,X,X,X,X,P,X,X,X,X,C,P,X,X,X,X,X,23,18,26,67
86,87,97,X,X,X,P,X,X,X,X,R,C,X,X,C,X,R,X,R,X,C,X,P,X,X,X,X,X,X,X,X,P,X,X,P,X,C,X,X,X,C,X,X,X,C,X,X,X,X,X,X,P,R,C,R,X,X,C,X,C,X,X,X,X,X,X,C,X,X,X,X,R,X,P,X,X,X,X,X,C,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,C,C,X,X,X,X,X,C,X,X,X,X,R,X,X,X,C,X,X,C,X,X,X,X,X,X,X,C,X,P,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,R,R,R,X,X,C,X,X,X,X,X,20,12,8,40
87,88,96,X,X,C,C,R,X,R,X,C,C,C,X,C,X,R,X,R,R,C,C,X,R,X,X,P,P,X,X,P,C,X,X,C,X,R,X,X,P,P,X,X,X,C,X,X,X,C,X,C,C,X,P,C,X,R,R,X,C,X,X,X,C,X,X,C,C,X,C,R,X,C,P,X,C,X,X,X,P,R,R,X,C,X,X,X,X,X,X,X,X,X,X,X,C,R,X,X,R,C,X,X,P,C,X,X,X,X,X,X,X,X,X,C,R,X,X,X,R,X,R,C,C,P,X,P,P,P,X,X,R,P,X,X,C,C,X,R,X,X,P,C,X,X,X,P,X,X,X,X,P,R,X,X,X,P,X,X,R,X,C,X,X,X,C,X,X,X,X,X,34,21,18,73
88,89,87,R,X,X,R,R,X,X,X,R,C,X,P,R,P,P,X,P,X,C,X,R,R,P,X,C,X,P,X,R,P,X,X,X,X,R,C,R,P,C,X,X,X,P,X,X,X,R,X,X,P,R,R,X,R,X,C,R,C,C,X,X,X,X,X,R,X,C,X,X,R,X,X,P,X,X,R,X,X,C,R,X,X,X,X,R,X,X,X,R,X,X,X,X,R,X,X,X,X,R,X,X,R,C,X,X,X,X,X,R,R,R,X,R,X,C,X,C,C,X,P,R,X,X,X,C,X,X,X,R,X,R,X,X,X,X,X,R,X,X,R,R,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,C,R,X,R,X,X,X,R,R,X,X,X,X,16,40,12,68
89,90,95,X,X,X,P,R,X,X,X,X,C,X,X,P,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,P,X,R,X,X,X,X,X,X,X,P,X,X,C,R,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,P,X,X,C,X,X,X,P,C,P,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,R,X,X,X,X,X,P,X,X,X,X,X,X,X,C,X,P,X,P,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,R,X,C,X,X,X,P,X,X,X,X,X,7,7,16,30
90,91,88,X,X,X,C,R,X,P,X,R,C,C,X,C,C,C,R,C,P,C,X,C,R,R,X,R,X,R,R,R,C,C,R,X,X,C,X,R,P,C,X,X,X,R,X,X,X,C,P,X,R,C,C,X,C,X,R,C,C,R,X,X,X,X,X,C,X,X,X,R,R,P,R,C,X,X,X,X,R,X,C,P,P,X,X,C,X,X,P,P,X,X,X,X,R,X,X,R,X,C,X,X,R,C,X,P,R,X,X,C,X,C,X,R,R,X,X,R,C,R,R,R,X,X,X,X,X,P,P,C,X,R,X,X,X,X,C,R,X,X,R,R,X,X,X,R,X,X,X,C,P,X,X,X,X,X,X,C,R,X,R,X,X,R,R,R,X,X,X,X,32,39,13,84
91,92,94,X,X,C,P,R,X,C,R,P,R,X,X,C,X,X,X,R,X,C,C,X,P,X,X,X,X,X,X,R,C,X,X,C,C,R,X,X,X,X,X,X,X,C,X,X,C,C,X,C,X,X,C,X,X,C,X,P,C,X,X,X,C,X,X,R,C,X,C,X,X,X,X,X,C,X,X,X,C,X,R,X,X,X,X,X,X,C,X,X,X,C,X,X,R,X,X,X,X,R,X,X,R,C,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,C,C,X,X,X,X,P,X,C,X,X,X,X,X,C,X,C,X,R,X,C,X,X,X,R,X,X,X,R,P,R,X,X,X,X,X,X,R,X,R,R,X,X,R,X,X,X,X,X,29,21,6,56
92,93,89,X,X,X,R,P,X,P,X,P,C,C,C,C,X,C,X,C,P,R,X,X,C,P,X,C,X,P,X,R,X,X,R,X,X,R,R,R,R,R,X,X,X,C,X,X,X,R,X,X,R,P,C,X,C,X,R,R,C,C,X,X,X,X,X,C,X,X,X,X,R,R,X,R,X,X,R,X,R,R,R,X,R,X,X,X,X,X,X,P,X,X,X,X,R,X,X,X,R,R,X,X,R,C,X,X,P,X,X,R,X,X,X,R,X,X,X,X,C,C,X,C,X,R,X,P,X,P,X,R,X,P,X,X,X,X,X,R,X,X,X,P,X,X,X,P,X,X,X,X,R,X,X,X,X,X,X,X,R,X,P,X,X,X,R,P,X,X,X,X,18,33,16,67
93,94,93,X,X,X,R,P,X,C,X,X,C,X,X,C,X,X,X,R,R,R,X,X,C,X,X,X,X,X,X,R,R,C,X,P,X,X,X,X,R,R,X,X,X,C,X,X,C,R,X,X,X,X,P,C,X,X,R,P,C,R,X,X,X,X,R,R,X,X,X,X,C,P,X,X,X,X,X,R,R,R,R,X,C,X,X,X,C,X,X,X,X,R,X,X,C,X,X,X,R,R,X,X,R,P,X,X,X,X,C,X,X,X,X,R,X,X,X,X,P,X,X,C,R,R,X,X,P,X,X,R,C,X,X,X,X,X,X,C,X,C,X,P,X,X,R,X,X,X,R,X,X,X,X,X,X,R,X,X,P,X,R,X,X,X,R,X,X,X,X,X,18,30,10,58
94,95,90,R,X,P,R,R,X,P,X,P,C,X,X,P,X,P,X,C,X,R,X,C,R,C,X,R,X,R,R,R,P,X,R,X,X,R,X,P,P,C,X,X,X,C,X,X,X,C,X,X,C,C,C,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,R,R,X,X,X,X,C,C,C,P,X,X,X,R,X,X,X,P,X,P,X,X,P,X,X,X,X,P,X,X,R,C,X,X,R,X,X,C,X,R,X,R,P,X,X,R,R,C,C,C,X,X,X,P,X,P,C,C,X,C,X,X,X,X,R,R,X,X,R,X,X,X,X,R,X,X,X,R,C,X,P,X,X,X,X,X,R,P,R,P,X,P,R,P,X,X,X,X,25,32,21,78
95,96,92,X,X,C,P,R,X,R,X,X,C,X,C,C,X,P,X,X,X,R,X,X,C,X,X,P,X,P,X,P,R,X,X,X,X,R,X,X,X,C,X,X,X,C,X,X,C,R,X,X,C,X,C,X,X,X,C,X,C,P,X,X,X,X,X,R,X,X,X,X,P,X,R,X,X,X,X,X,R,C,C,X,X,X,X,X,X,X,X,X,X,R,X,X,C,R,X,X,P,R,X,X,C,C,X,X,X,X,X,P,X,X,X,P,X,C,X,X,X,X,P,C,X,C,X,P,X,X,P,R,X,P,X,X,X,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,P,X,X,X,R,X,X,X,X,X,22,14,16,52
96,97,91,X,X,P,C,P,X,C,X,C,C,X,X,C,X,X,X,C,R,C,X,X,C,P,X,P,X,X,X,C,P,X,P,P,X,X,X,P,P,C,X,X,X,C,X,X,X,R,X,X,R,X,R,X,R,X,C,R,C,X,X,X,X,X,X,C,X,X,X,X,R,X,R,P,X,X,X,X,C,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,R,X,X,R,R,X,X,P,X,X,R,X,P,X,R,X,X,X,X,C,X,C,R,X,R,X,R,X,R,X,R,X,R,X,X,X,X,X,C,X,X,X,R,X,X,X,R,X,X,X,X,R,X,X,X,X,P,X,X,R,X,R,X,X,X,R,X,X,X,X,X,20,27,13,60
