OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
97,98,108,R,X,X,R,X,X,P,X,C,C,R,X,C,X,P,X,C,X,R,X,R,C,X,X,C,X,X,X,C,X,X,R,X,X,C,X,R,X,P,X,X,X,C,X,X,X,R,X,X,P,X,C,X,X,X,R,R,C,C,X,X,X,X,X,C,X,X,X,X,P,P,R,X,X,X,R,X,P,C,C,R,R,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,X,C,X,X,C,C,X,X,X,X,X,R,X,X,X,P,X,X,X,X,R,X,X,C,X,C,X,R,X,P,X,C,X,R,X,X,X,X,X,P,X,X,X,C,X,X,X,C,X,X,X,X,R,X,X,X,X,X,X,X,R,X,C,X,X,X,P,C,X,X,X,X,25,22,11,58
98,99,107,X,X,C,R,X,X,C,X,P,C,X,X,C,X,R,X,X,X,C,X,X,R,X,X,P,P,X,X,X,R,X,X,C,X,C,X,X,P,P,P,X,X,C,X,X,C,P,X,X,P,X,C,P,X,X,C,P,C,X,X,X,X,X,X,C,X,X,X,X,P,X,C,X,X,X,X,X,R,C,C,X,R,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,R,X,X,C,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,R,X,X,C,X,C,X,R,P,P,X,R,X,X,X,X,C,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,R,X,R,X,X,X,R,X,X,X,X,X,22,14,15,51
99,100,106,X,X,P,R,R,X,X,C,X,C,X,R,P,X,X,X,X,X,X,C,X,R,X,X,X,C,X,X,X,P,X,X,P,X,R,X,X,X,X,X,X,X,R,X,X,C,R,X,X,X,X,R,C,C,X,R,X,C,X,X,X,C,X,X,R,C,X,X,X,X,X,X,X,C,X,X,X,R,R,X,X,P,X,X,X,X,C,X,X,X,C,X,X,R,X,X,X,X,P,X,X,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,R,C,R,X,X,X,X,X,X,X,R,X,X,X,R,C,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,P,X,P,X,X,X,R,X,X,X,X,X,16,19,11,46
100,101,105,X,X,X,C,C,X,X,X,R,R,X,X,R,X,X,X,P,P,C,X,X,C,X,X,C,X,X,X,C,R,X,P,C,X,R,X,R,P,R,X,X,X,C,X,X,X,C,X,X,P,X,P,X,X,X,C,P,C,R,X,X,X,X,X,C,X,X,X,X,P,X,X,X,X,X,X,X,C,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,R,X,X,R,C,X,X,X,X,X,P,X,X,X,R,P,X,X,X,R,X,X,R,P,C,X,C,X,P,X,C,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,R,X,X,X,R,C,X,X,X,X,X,X,X,R,X,R,X,X,X,R,X,X,X,X,X,21,19,13,53
101,102,104,X,X,X,C,P,X,X,X,R,C,X,X,C,X,X,X,P,X,C,X,X,R,X,X,X,X,X,X,R,R,X,P,P,X,X,X,X,R,P,X,X,X,C,X,X,C,R,X,X,R,X,P,X,X,X,P,P,C,P,X,X,X,X,X,C,X,X,X,X,R,R,P,X,X,X,X,X,R,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,R,X,X,C,C,X,X,X,X,X,P,X,X,X,P,X,X,X,X,R,X,P,P,X,P,X,P,X,X,X,R,X,X,X,X,X,X,X,C,X,P,X,X,X,X,X,P,X,X,X,X,P,P,X,X,X,X,X,X,R,X,R,X,X,X,P,X,X,X,X,X,13,15,22,50
102,103,103,X,P,C,C,R,X,C,X,P,C,X,R,C,X,P,X,C,R,C,X,X,C,P,X,P,X,X,R,C,C,C,X,R,X,R,X,P,C,C,X,X,X,C,X,X,C,R,X,X,C,X,C,X,R,X,C,R,C,C,X,X,X,X,X,C,X,X,X,X,R,C,P,X,X,X,X,X,C,C,R,X,R,X,R,X,X,X,X,X,X,C,C,X,C,C,X,X,P,C,X,X,C,C,X,X,P,C,X,P,X,X,X,C,R,C,X,X,R,X,P,C,R,P,X,R,R,X,P,C,X,C,X,X,X,X,X,C,R,X,R,C,X,X,X,R,X,C,R,P,R,R,X,X,X,X,X,C,C,X,C,P,X,X,C,P,X,X,X,X,44,24,16,84
103,104,102,X,X,R,C,P,X,P,X,X,C,C,C,C,X,R,X,P,R,C,X,P,C,P,X,C,X,X,R,X,X,C,X,X,X,C,X,X,P,C,X,X,X,C,P,X,X,P,X,X,C,X,R,R,C,X,C,C,C,C,X,X,X,X,X,C,X,X,X,P,P,X,C,P,X,X,X,X,R,X,C,P,X,X,X,X,X,X,X,X,X,R,X,X,C,C,X,X,R,R,X,X,C,C,X,X,X,X,X,P,X,R,X,R,R,X,X,X,C,X,P,C,X,X,X,R,X,P,X,P,X,C,X,X,X,X,X,C,R,X,R,C,X,X,X,P,X,R,R,X,C,X,X,X,X,X,X,C,C,X,R,R,X,X,C,X,X,X,X,X,34,20,17,71
104,105,101,X,X,X,C,R,X,C,X,R,C,C,X,C,C,P,X,C,R,C,X,R,C,X,X,C,X,X,X,C,C,X,X,X,X,R,X,P,P,C,X,X,X,C,X,X,X,R,X,X,R,R,P,C,C,X,C,P,C,C,X,X,X,X,X,C,X,X,X,R,P,X,R,R,X,X,X,X,C,C,C,X,X,X,X,P,X,X,X,X,X,X,X,X,P,X,X,X,X,C,X,X,C,C,X,X,P,X,C,C,X,R,X,R,R,X,X,X,R,R,R,R,R,X,X,P,X,P,C,C,X,R,X,X,X,X,X,R,X,X,C,C,X,X,X,C,X,X,X,R,P,X,X,R,X,X,X,X,P,X,C,P,X,X,C,X,X,X,X,X,35,23,14,72
105,106,100,X,X,X,R,R,X,R,X,R,C,C,X,C,P,X,X,C,P,C,X,R,C,C,X,C,X,P,P,C,P,X,P,X,X,R,X,C,R,C,X,X,X,C,X,X,X,C,X,X,R,C,C,C,P,X,C,R,C,X,X,X,X,X,X,C,X,X,X,P,R,X,P,R,X,X,P,X,R,C,C,P,P,X,X,P,X,X,X,X,X,R,X,X,P,X,X,X,R,R,X,X,P,C,X,X,R,X,X,R,X,C,X,R,P,X,X,X,R,X,R,C,X,P,X,P,X,P,C,C,X,R,X,X,X,X,X,R,X,X,R,P,C,X,X,C,X,X,X,P,R,X,X,X,X,X,X,X,C,X,C,R,X,X,C,C,X,X,X,X,32,25,21,78
106,107,99,X,X,C,C,R,X,X,X,C,C,X,X,C,C,X,R,C,R,C,X,R,R,C,X,C,X,R,P,C,R,X,P,X,X,R,X,P,C,C,X,X,X,C,X,X,X,C,X,X,P,C,R,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,C,X,X,R,X,X,X,X,R,C,C,X,X,X,X,C,X,X,X,X,X,X,X,X,C,X,X,R,X,C,P,X,C,C,P,X,C,X,X,R,X,C,X,R,P,C,X,X,R,P,R,C,X,X,X,C,C,X,C,C,X,R,X,X,X,X,R,R,X,X,R,P,X,X,X,C,P,X,X,R,C,X,X,X,X,X,X,X,R,P,R,P,X,P,R,C,X,X,X,X,38,27,13,78
107,108,98,X,X,X,R,P,X,X,X,R,P,X,X,P,X,X,X,R,X,R,X,R,R,P,X,P,X,X,X,R,R,X,P,X,X,X,X,P,X,R,X,X,X,R,X,X,X,C,X,X,R,C,R,X,P,X,P,X,C,C,X,X,X,X,X,C,X,X,X,X,P,X,R,R,X,X,C,X,R,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,R,P,X,X,P,X,X,R,X,X,X,P,P,X,X,X,R,R,X,P,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,R,X,P,X,C,R,X,X,R,X,X,X,X,P,P,X,X,X,X,X,X,P,R,C,X,X,X,P,P,X,X,X,X,11,24,21,56
108,109,120,X,X,X,X,X,X,P,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,C,X,X,X,X,X,C,X,X,X,X,C,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,R,C,X,X,X,P,X,X,C,P,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,X,8,7,5,20
109,110,119,X,X,X,R,P,X,P,X,C,C,P,X,C,X,P,X,R,C,C,X,X,C,P,X,R,C,X,X,C,C,X,X,R,X,R,X,R,P,R,X,X,X,C,X,X,X,R,X,X,R,X,C,P,C,P,C,R,C,P,X,X,X,X,X,R,X,X,X,R,R,X,P,X,X,X,X,X,C,C,C,X,C,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,C,X,X,X,C,X,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,R,X,P,R,R,X,R,X,R,X,X,X,R,X,X,R,C,X,X,X,R,X,X,X,X,R,R,X,X,X,P,X,C,C,X,C,R,X,X,R,X,X,X,X,X,27,27,12,66
110,111,118,X,X,X,P,R,X,P,X,P,C,X,X,P,X,X,X,X,X,C,X,X,R,X,X,X,R,X,X,R,R,X,X,R,X,P,X,X,P,X,X,X,X,C,X,X,X,C,X,X,P,X,P,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,C,R,X,X,R,X,X,X,X,X,X,X,X,X,R,X,R,X,X,X,X,C,X,X,C,C,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,C,P,R,X,C,C,X,X,P,X,X,X,X,X,X,X,R,P,X,C,P,X,X,P,X,X,R,X,X,X,X,X,X,X,R,X,P,X,X,R,X,X,X,P,X,X,X,X,X,14,15,16,45
111,112,117,X,X,P,C,C,X,C,X,P,C,X,X,C,X,C,X,P,P,C,X,X,C,X,X,P,C,X,X,C,R,X,X,R,X,P,X,X,P,P,X,X,C,C,X,X,X,C,X,X,C,X,C,C,P,X,C,P,C,R,X,X,X,X,X,C,X,X,X,C,R,X,P,X,X,X,X,P,C,C,R,X,C,X,X,X,X,X,X,X,X,C,X,X,C,R,X,X,P,R,X,X,C,C,X,X,X,X,X,X,X,X,X,R,P,X,X,X,R,X,R,C,R,R,X,P,X,X,X,C,C,X,X,X,X,X,X,C,X,X,X,C,X,X,X,P,X,X,X,X,P,R,X,X,X,C,X,X,C,X,C,X,X,X,C,X,X,X,X,X,36,13,17,66
112,113,116,X,X,C,C,R,X,R,C,C,C,R,X,C,X,X,X,P,P,C,C,X,C,X,X,P,P,X,X,C,C,C,X,C,C,C,X,X,R,P,X,X,X,C,X,X,C,C,X,X,C,X,C,P,X,X,C,X,C,C,X,X,C,X,X,C,C,X,C,X,C,R,R,X,C,X,X,X,C,C,C,X,C,X,X,X,X,C,X,X,X,R,X,X,C,P,X,X,P,R,X,X,C,C,X,X,X,C,X,X,X,X,X,C,P,X,X,X,R,X,P,C,P,C,X,P,C,P,X,C,X,X,X,X,C,C,X,C,X,P,X,R,X,X,X,P,X,X,X,X,X,C,X,X,X,R,X,X,R,X,C,X,X,X,R,X,X,X,X,X,48,13,15,76
113,114,115,X,X,X,C,R,X,X,X,R,C,R,X,C,R,X,X,R,R,C,X,X,C,R,X,R,C,C,X,C,C,X,X,R,X,R,X,C,X,C,X,X,X,C,X,X,X,C,X,X,R,X,C,R,C,P,C,R,C,R,X,X,X,X,X,C,X,X,X,C,R,X,R,X,C,X,X,X,C,C,C,P,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,C,X,X,R,C,X,X,X,C,X,R,X,X,X,C,C,X,X,X,R,X,P,R,X,R,X,C,P,R,R,C,R,R,X,X,C,X,X,C,X,R,X,P,X,X,X,R,X,X,X,P,C,R,X,X,X,X,X,X,C,X,C,R,X,X,R,X,X,X,X,X,37,31,6,74
114,115,114,X,X,R,R,R,X,P,X,C,C,C,X,C,X,R,X,C,X,R,X,X,R,C,X,R,R,R,P,R,R,C,P,R,X,R,X,R,R,C,X,X,X,C,X,X,X,C,X,X,R,R,C,P,C,P,R,C,C,R,X,X,X,X,X,C,X,X,X,R,C,P,P,R,X,X,X,X,R,C,C,R,X,X,X,X,X,X,X,X,X,R,X,X,C,C,X,X,R,C,X,X,C,C,X,X,P,R,C,R,X,X,X,R,X,C,X,X,R,X,C,C,X,P,X,C,P,P,R,C,X,C,X,X,X,X,X,C,X,P,X,R,X,X,X,R,X,X,P,R,R,R,X,X,X,X,X,C,R,X,C,P,X,X,C,X,X,X,X,X,34,36,14,84
115,116,113,X,X,X,R,R,X,R,X,C,C,R,X,C,X,X,X,R,P,C,X,X,C,P,X,R,X,P,X,C,R,C,X,P,X,R,X,C,R,C,X,X,X,C,X,X,X,C,X,X,C,R,C,X,P,X,R,C,C,R,X,X,X,X,X,C,X,X,X,P,C,R,C,P,X,X,X,X,C,C,C,P,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,C,R,X,X,R,C,X,X,X,X,X,C,X,X,X,R,R,X,C,X,C,X,R,C,X,P,X,R,P,P,X,R,P,R,X,X,X,X,X,C,X,X,P,C,X,X,X,R,X,X,R,R,R,P,X,X,X,X,X,X,R,P,C,P,X,X,C,C,X,X,X,X,32,27,16,75
116,117,112,P,X,X,C,R,X,X,X,R,C,X,X,C,R,R,X,C,R,C,X,R,C,C,X,C,R,C,C,C,C,C,C,C,X,C,X,P,R,C,X,X,X,C,X,X,X,C,X,X,C,P,C,P,C,X,C,R,C,C,X,X,X,X,X,C,X,X,X,R,C,C,C,C,X,X,X,X,C,C,C,X,X,X,X,X,X,X,X,P,X,C,X,X,C,X,X,C,R,C,C,X,C,C,X,X,R,P,X,C,X,C,X,C,C,C,X,R,R,C,P,C,R,C,X,C,P,R,C,C,X,C,X,R,X,X,R,C,X,X,C,C,X,X,X,R,X,X,X,C,C,X,X,C,X,X,X,C,C,X,C,R,X,X,C,C,X,X,X,X,63,20,8,91
117,118,111,P,X,X,C,P,X,X,X,P,C,X,P,C,X,P,X,C,P,C,X,P,C,C,X,C,X,C,P,R,C,P,P,P,X,R,X,R,R,C,X,X,X,C,X,X,X,C,X,X,C,C,C,X,C,X,C,C,C,C,X,X,X,X,X,C,X,X,X,X,C,X,C,C,X,X,X,X,R,C,C,P,X,X,X,P,X,X,X,P,X,P,X,X,C,X,X,X,R,C,X,X,C,C,X,X,R,X,X,C,X,C,X,R,R,X,X,X,C,P,P,R,X,R,X,C,P,X,P,C,X,C,X,X,X,X,X,R,X,X,X,P,X,X,X,C,X,P,X,P,C,X,X,X,X,X,X,X,P,X,C,P,X,X,C,C,X,X,X,X,42,12,24,78
118,119,110,X,X,R,P,P,X,X,X,P,C,X,R,C,X,X,P,R,P,C,X,X,C,X,X,P,R,C,X,R,X,C,X,C,X,R,X,X,C,C,X,P,X,C,X,X,X,C,X,X,C,P,C,C,C,X,C,X,C,C,X,X,X,X,X,C,X,X,X,X,P,P,X,P,X,X,X,X,C,C,C,X,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,P,R,X,X,C,C,X,X,X,P,X,P,X,P,X,P,X,C,X,X,P,P,P,C,X,R,X,X,R,R,X,C,X,P,X,X,X,X,X,C,X,P,X,R,X,X,X,P,X,X,R,X,R,X,X,X,X,X,X,C,C,X,R,P,X,X,C,C,X,X,X,X,34,15,23,72
119,120,109,X,X,C,P,R,X,X,X,C,C,X,X,R,P,R,X,C,P,C,X,R,R,P,X,C,X,R,X,R,R,C,C,P,X,C,X,R,P,C,X,X,X,C,X,X,X,C,X,X,C,R,R,X,C,X,C,P,C,P,X,X,X,X,X,C,X,X,X,R,R,P,P,R,X,X,C,X,R,R,P,X,X,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,R,R,X,X,R,C,X,C,C,X,X,C,X,R,X,R,X,X,X,X,C,X,P,R,X,X,X,P,R,P,P,C,X,R,X,X,X,X,X,C,X,P,P,X,P,X,X,R,X,X,X,R,R,P,X,X,X,X,X,P,R,C,R,R,X,X,C,C,X,X,X,X,30,30,20,80
120,121,131,X,X,P,P,P,X,X,X,R,C,X,C,R,X,R,X,P,P,C,X,X,R,X,C,P,R,P,X,P,C,X,X,R,X,R,X,X,P,R,X,X,X,R,X,X,X,C,X,X,P,X,P,R,R,X,C,R,C,X,X,X,X,X,X,R,X,X,X,P,R,P,X,X,X,X,X,X,C,P,R,X,C,X,X,R,C,X,X,X,X,R,R,X,R,C,X,X,X,C,C,X,R,C,X,X,X,X,X,R,X,X,C,X,R,X,X,X,C,X,X,R,R,C,X,P,R,P,X,R,R,R,R,X,R,X,X,R,X,C,R,P,X,X,X,R,X,X,X,X,P,R,X,X,X,R,X,X,R,X,R,P,X,X,R,X,X,X,X,X,19,38,19,76
121,122,121,X,X,X,R,C,X,X,X,C,C,C,X,C,P,R,X,C,P,R,X,X,C,X,X,C,X,R,X,X,C,P,P,P,X,R,X,C,X,C,X,X,X,C,X,X,X,C,X,X,R,X,C,X,C,X,C,R,C,X,X,X,X,X,X,C,X,X,X,X,R,P,P,X,X,X,C,X,P,C,C,P,X,X,X,X,X,X,X,P,X,C,X,X,R,X,X,X,C,C,X,X,C,R,X,X,X,X,X,R,X,P,X,R,X,X,X,X,C,X,X,C,X,X,X,P,P,P,P,R,X,R,X,X,X,X,X,C,X,X,X,C,X,X,X,C,X,X,X,X,P,P,X,X,X,X,X,X,C,X,C,P,X,X,R,P,X,X,X,X,32,15,19,66
122,123,130,X,X,X,P,R,X,X,X,X,C,X,P,C,X,P,X,X,X,X,X,X,P,X,X,X,P,X,X,X,R,X,X,P,X,X,X,X,X,R,X,X,X,C,X,X,C,R,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,R,C,X,X,X,X,X,X,X,C,X,X,X,R,P,R,X,P,X,P,X,X,X,X,X,X,R,R,X,R,C,X,X,X,R,X,X,R,P,X,X,X,P,X,X,X,X,X,X,P,X,X,X,X,X,X,C,C,X,X,X,R,X,X,X,X,X,X,X,R,X,X,R,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,X,X,10,17,13,40
123,124,129,X,R,C,C,R,X,P,X,R,C,R,X,C,X,X,X,R,X,C,X,X,C,X,X,X,P,X,X,P,P,X,X,C,X,R,X,X,R,X,X,X,C,C,X,X,X,R,X,X,C,X,P,P,X,X,R,R,C,R,X,X,X,X,X,C,C,X,X,C,C,R,P,X,C,X,X,X,C,C,C,P,X,X,X,X,X,X,X,X,X,C,P,X,C,C,X,X,X,C,X,X,X,C,X,X,X,X,X,P,X,X,X,P,P,X,X,X,R,X,X,C,C,R,X,X,C,P,X,C,R,P,X,X,C,X,X,C,X,P,P,C,X,X,X,P,X,R,X,X,X,R,X,X,X,R,X,C,X,X,C,X,X,X,C,X,X,X,X,X,34,18,17,69
124,125,128,X,X,C,C,C,X,R,C,C,C,X,P,C,X,C,X,X,P,C,X,X,C,X,X,R,R,X,X,C,C,C,X,C,X,R,X,X,R,X,X,X,X,C,X,X,C,C,X,X,C,X,C,X,X,X,P,X,C,X,X,X,X,X,X,C,C,X,X,C,R,R,X,X,C,X,X,X,C,C,C,X,R,X,C,X,X,X,X,X,X,C,R,X,C,C,X,X,X,C,X,X,R,P,X,X,X,X,X,X,X,X,X,R,P,X,X,X,P,X,X,C,P,C,X,P,C,P,X,C,X,X,P,X,C,X,X,C,X,X,X,P,X,X,X,P,X,X,X,X,X,C,X,X,X,R,X,X,P,X,C,X,X,X,C,X,X,X,X,X,41,12,13,66
125,126,127,X,X,P,X,R,X,C,X,C,C,C,X,C,X,X,X,R,P,C,X,X,C,P,X,P,C,X,X,C,R,C,X,C,X,C,X,P,X,R,X,X,X,C,X,X,X,C,X,X,P,X,R,X,X,X,P,X,C,C,X,X,X,X,X,C,X,X,X,X,R,R,X,X,X,X,X,X,C,C,C,X,R,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,R,X,X,C,C,X,X,X,X,X,X,X,X,X,R,C,X,X,X,P,X,X,C,X,R,X,X,X,P,X,R,X,X,X,X,C,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,R,R,X,X,X,P,X,X,P,X,C,X,X,X,C,X,X,X,X,X,31,14,11,56
126,127,126,X,X,X,P,P,X,P,X,R,C,X,R,C,X,X,X,P,P,R,X,X,C,P,X,R,X,X,X,P,R,X,X,R,X,X,X,P,R,R,X,X,X,C,X,X,X,R,X,X,C,X,P,R,R,X,C,P,C,P,X,X,X,X,X,C,X,X,X,X,R,P,X,X,X,X,X,X,R,C,C,X,X,X,X,X,X,X,X,X,X,C,X,X,C,C,X,X,R,R,X,X,P,C,X,X,P,P,X,P,X,X,X,P,X,X,X,X,R,X,X,C,X,X,X,R,R,X,X,R,X,R,X,X,X,X,X,C,X,X,R,P,X,X,X,R,X,P,X,X,P,R,X,X,X,P,X,X,R,X,R,X,X,X,R,X,X,X,X,X,16,26,21,63
127,128,125,X,X,X,C,R,X,R,X,R,C,X,C,C,X,X,X,R,C,C,X,X,C,X,X,R,X,P,X,C,C,X,R,C,X,R,X,C,C,C,X,X,X,C,X,X,X,C,X,X,C,C,C,X,C,X,C,C,C,P,X,X,X,X,X,C,X,X,X,X,R,P,C,X,X,X,R,X,C,C,C,P,C,X,X,P,X,X,X,X,X,X,X,X,C,X,X,C,C,C,X,X,R,C,X,X,R,P,X,R,X,P,X,P,X,X,X,X,R,X,X,C,X,R,X,P,R,P,C,R,X,R,X,X,X,X,X,C,X,X,R,C,X,X,X,R,X,X,X,P,R,R,X,X,X,X,X,X,C,X,R,P,X,X,C,X,X,X,X,X,39,22,12,73
128,129,124,X,X,X,C,P,X,P,X,P,C,X,C,C,P,X,X,R,P,C,X,X,R,P,X,R,X,X,X,P,R,C,R,P,X,C,X,R,R,R,X,X,X,C,X,X,X,R,X,X,C,C,C,X,C,X,R,P,C,R,X,X,X,X,X,C,X,X,X,P,P,R,C,P,X,X,X,X,C,R,C,X,X,X,X,X,X,X,X,X,X,R,X,X,R,X,X,P,P,C,X,X,R,P,X,X,R,X,C,R,X,R,X,P,R,C,X,X,R,X,X,C,X,P,X,P,P,P,C,C,X,P,X,X,X,X,X,R,X,X,R,C,X,X,P,R,P,X,X,P,C,P,X,C,X,X,X,C,P,X,C,X,X,X,C,X,X,X,X,X,29,24,26,79
129,130,123,X,X,X,C,R,X,X,X,P,C,X,C,C,R,C,X,C,C,C,X,C,C,R,X,C,X,R,P,C,C,X,P,P,X,R,X,P,C,C,X,X,X,C,X,X,X,C,C,X,C,C,R,R,P,X,C,R,C,C,X,X,X,X,X,C,X,X,X,P,C,P,C,C,X,X,X,X,R,C,C,P,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,R,R,P,X,C,C,X,X,P,C,X,C,X,C,X,C,R,C,X,C,C,X,R,C,X,R,X,P,C,X,R,R,X,R,X,P,X,X,X,R,X,R,X,C,X,X,X,R,X,X,X,P,C,X,X,X,X,X,X,C,R,X,C,R,X,X,C,P,X,X,X,X,47,23,15,85
