OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
130,131,122,X,X,X,C,C,X,X,X,C,C,C,C,C,R,P,X,R,P,C,X,R,C,R,X,R,X,C,R,P,C,C,R,C,X,C,X,P,P,C,X,C,X,C,X,X,X,C,X,X,R,C,C,X,C,P,C,R,C,R,X,X,X,X,X,C,X,X,X,R,C,P,R,R,X,X,X,X,R,C,C,X,R,X,X,X,X,X,X,P,X,C,X,X,C,X,X,C,R,C,X,X,R,C,X,X,R,X,X,R,X,C,X,R,R,X,X,C,R,P,C,C,X,R,X,P,C,R,R,C,X,R,X,X,X,X,P,C,X,X,C,C,X,X,X,C,X,C,X,R,R,P,X,C,X,X,X,C,C,R,C,P,X,C,C,P,X,X,X,X,49,29,14,92
131,132,141,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,C,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6,2,1,9
132,133,140,X,X,P,C,R,X,X,X,C,C,X,X,C,X,X,X,X,X,C,X,X,R,X,X,X,X,X,X,X,C,X,X,R,X,R,X,X,P,X,X,X,X,C,X,X,X,C,X,X,P,X,P,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,R,C,R,X,X,X,X,X,X,X,X,X,X,R,R,X,R,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,C,R,P,X,X,C,P,X,X,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,C,X,X,X,R,X,X,X,X,X,16,13,7,36
133,134,139,X,X,P,C,R,X,P,X,C,C,X,X,C,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,R,R,C,X,R,X,R,X,X,R,X,X,X,X,C,X,X,C,C,X,X,C,X,P,X,X,X,X,X,C,X,X,X,X,X,X,C,C,X,X,X,X,C,X,X,C,X,X,X,C,X,R,X,P,X,X,X,X,X,X,X,X,C,R,X,R,R,X,X,X,R,X,X,P,C,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,C,R,C,C,X,C,P,X,R,X,X,X,X,X,X,X,R,X,X,P,P,X,X,X,X,X,R,X,X,X,C,X,X,X,R,X,X,X,X,C,X,X,X,C,X,X,X,X,X,24,18,10,52
134,135,138,X,X,R,P,R,X,C,X,C,C,P,X,P,X,X,X,P,X,P,X,X,X,X,X,X,X,X,X,P,P,P,X,P,X,R,X,X,R,X,X,X,X,C,X,X,X,C,X,X,X,X,P,X,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,P,R,X,X,X,X,X,X,C,X,R,X,P,X,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,P,X,X,R,X,X,R,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,P,X,X,X,X,X,P,X,X,X,R,X,X,P,X,C,X,X,X,P,X,X,X,X,X,10,12,20,42
135,136,137,X,X,X,C,R,X,C,X,P,C,C,X,C,R,X,X,C,R,C,X,X,C,P,X,R,R,X,X,R,P,X,P,R,X,X,X,R,R,R,X,X,X,C,X,X,X,R,X,X,P,X,R,P,P,X,C,R,C,C,X,X,X,X,X,R,X,X,X,C,R,X,X,P,X,X,X,X,C,C,C,X,R,X,X,X,R,X,X,X,X,X,X,X,R,C,X,X,R,R,X,X,C,C,X,X,X,R,C,P,X,X,X,P,P,X,X,X,R,X,C,C,X,C,X,R,X,P,X,R,X,X,P,X,C,X,X,C,X,X,X,P,X,X,X,R,X,X,X,X,R,C,X,X,X,R,X,X,C,X,C,R,X,X,C,X,X,X,X,X,29,28,14,71
136,137,136,X,X,X,P,P,X,P,X,P,C,X,X,P,X,C,X,R,P,R,X,X,C,X,X,P,X,C,C,P,R,C,C,P,X,R,X,R,P,P,X,X,X,C,X,X,X,R,X,X,P,X,C,P,X,X,C,R,C,R,X,X,X,X,X,C,X,X,X,X,C,P,X,X,X,X,R,X,C,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,R,X,X,R,R,X,X,P,X,X,R,X,X,X,R,X,X,X,X,P,X,X,R,X,C,X,R,X,X,C,R,X,P,X,X,X,X,X,C,X,X,X,P,X,X,X,R,X,X,X,X,P,P,X,X,X,X,X,X,R,X,R,C,X,X,C,X,X,X,X,X,19,21,23,63
137,138,135,C,X,R,R,R,X,R,X,R,C,X,C,R,R,C,X,R,R,C,X,X,C,P,X,R,X,R,P,R,R,C,P,P,X,R,X,R,P,R,X,X,X,C,X,X,X,R,X,X,P,C,C,X,R,X,R,C,C,C,X,X,X,X,X,C,X,X,X,R,C,P,R,P,X,X,P,X,R,R,C,P,R,X,P,P,X,X,X,X,X,R,C,X,R,R,X,R,R,R,X,X,R,C,C,X,P,X,C,R,X,C,X,R,X,C,X,X,R,X,P,C,X,R,X,P,P,C,P,R,X,P,X,X,X,X,X,C,X,P,C,C,X,X,X,R,X,P,P,P,R,X,P,X,X,X,X,C,R,X,C,R,X,X,R,X,X,X,C,X,30,41,23,94
138,139,134,X,X,X,C,P,X,P,X,R,C,X,X,C,X,R,X,R,R,R,X,P,R,X,X,R,X,P,X,X,R,X,X,P,X,P,X,X,P,C,X,X,X,C,X,X,X,R,X,X,C,X,C,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,R,P,X,X,X,X,C,C,R,X,X,X,X,X,X,X,X,X,X,P,X,X,R,X,X,X,R,R,X,X,C,C,X,X,P,P,X,R,X,P,X,R,P,C,X,X,R,X,R,R,X,R,X,P,C,X,X,C,X,R,X,X,X,X,X,R,X,X,P,P,X,X,X,R,X,X,R,X,R,P,X,C,X,X,X,P,R,X,R,P,X,X,C,R,X,X,X,X,19,32,19,70
139,140,133,X,X,X,C,P,X,X,X,R,C,P,X,R,X,X,X,R,R,C,X,X,R,P,X,R,X,X,P,R,R,X,X,R,X,R,X,X,P,R,X,X,X,C,X,X,X,R,X,X,P,X,R,X,C,X,C,R,C,P,X,X,X,X,X,C,X,X,X,X,R,P,P,R,X,X,X,X,R,C,R,C,X,X,X,X,X,X,X,X,X,C,X,X,R,X,X,C,P,R,X,X,R,C,X,X,X,X,X,C,X,R,X,R,X,C,X,X,C,P,R,R,X,X,X,P,R,C,X,R,X,R,X,X,X,X,X,R,X,P,P,P,X,X,X,C,R,X,P,P,P,P,X,X,X,X,X,R,C,X,R,P,X,X,R,R,X,X,X,X,19,34,20,73
140,141,132,X,X,P,C,R,X,C,X,C,C,R,X,R,R,P,X,R,R,C,X,X,C,X,X,C,X,P,P,R,P,X,P,C,X,R,X,R,R,C,X,X,X,C,X,X,X,C,P,X,R,C,R,P,C,R,C,R,C,P,X,X,X,X,X,C,X,X,X,X,R,P,R,X,X,X,C,X,C,C,C,P,R,X,X,X,X,X,X,X,X,P,X,X,C,X,X,P,R,C,X,X,C,C,X,X,X,X,X,R,X,X,X,R,P,X,X,X,C,X,R,C,X,X,X,R,C,X,X,R,X,R,X,X,X,X,X,C,X,X,P,X,X,X,X,R,X,X,X,X,C,R,X,X,X,P,X,P,C,X,C,R,X,X,R,X,X,X,X,X,31,28,17,76
141,142,142,X,X,X,P,X,X,P,X,X,R,R,X,R,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,P,X,X,P,X,X,X,X,X,P,X,X,R,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,1,4,17,22
142,143,143,X,X,R,R,P,X,X,X,X,P,X,P,C,P,P,X,P,X,P,X,X,P,C,X,R,X,X,X,P,P,R,X,X,X,P,X,X,P,C,X,X,X,C,X,X,X,P,X,X,C,X,C,X,X,X,R,X,C,X,X,X,X,X,X,R,X,X,X,X,P,P,X,X,X,X,X,X,P,R,P,X,P,X,X,X,X,X,X,X,X,R,P,X,R,P,X,X,P,P,X,X,P,C,X,X,P,X,C,P,X,X,X,X,X,P,X,X,P,X,X,R,X,C,X,P,R,X,X,P,X,P,X,X,X,X,X,R,X,R,R,P,X,X,X,R,X,P,X,P,X,X,X,X,X,R,X,R,C,X,P,P,X,X,R,X,X,X,X,X,11,18,35,64
143,144,144,R,X,X,P,R,X,X,X,R,R,R,P,R,R,R,X,R,R,R,X,R,R,R,X,R,X,P,X,R,R,X,R,R,X,R,X,R,R,R,X,X,X,C,X,X,X,R,X,X,C,X,C,X,C,X,R,R,C,R,X,X,X,R,X,C,X,X,X,R,R,R,C,R,X,X,X,X,P,R,R,X,X,X,X,R,X,X,X,R,X,R,X,X,R,X,X,P,P,R,X,X,P,C,R,R,P,C,X,C,X,R,X,R,P,C,X,P,R,X,R,C,X,X,X,P,C,X,C,C,X,R,X,X,X,X,X,R,X,X,R,R,P,X,X,R,X,X,R,R,R,R,X,X,X,X,X,C,R,R,R,R,X,X,R,R,X,X,X,X,16,60,12,88
144,145,145,X,X,X,X,X,X,X,X,X,C,P,X,C,X,X,X,P,X,P,X,P,P,X,X,X,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,X,X,C,X,X,C,R,X,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,R,P,X,P,X,X,X,X,R,C,P,X,X,X,X,X,X,X,X,X,X,P,X,X,P,C,X,P,X,X,X,X,X,C,X,X,X,X,X,P,X,C,X,R,X,C,X,X,X,X,X,P,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,R,X,X,C,X,X,X,X,X,X,X,X,R,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,13,9,16,38
145,146,146,X,X,R,X,P,X,C,X,P,C,R,C,C,P,X,X,P,P,C,X,X,P,P,X,C,R,X,X,C,P,C,P,P,X,C,X,X,X,R,X,X,X,C,X,X,X,C,X,X,X,C,C,R,C,X,P,R,C,R,X,X,X,X,X,C,X,X,X,X,P,R,X,R,X,X,X,X,C,C,C,X,R,X,X,X,X,X,X,X,X,R,X,X,P,C,X,R,C,R,X,X,C,C,X,X,X,X,C,R,X,R,X,R,X,X,X,X,P,X,X,R,X,X,X,X,X,X,P,C,R,P,X,X,X,X,X,C,X,X,X,C,X,X,X,R,P,X,X,R,P,R,X,X,X,R,X,C,P,X,R,P,X,X,C,X,X,X,X,X,29,23,20,72
146,147,147,X,X,R,X,R,X,R,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,P,X,C,X,X,X,R,X,P,X,C,P,X,X,C,X,X,C,R,X,X,X,X,C,C,C,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,P,C,C,X,X,C,X,X,X,C,X,X,X,X,P,X,X,X,C,X,X,C,X,X,X,C,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,C,X,X,P,X,X,X,X,X,X,X,X,X,X,R,X,C,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,X,P,X,X,C,X,X,X,R,X,X,X,X,X,P,X,X,X,X,X,25,10,8,43
147,148,148,X,X,P,C,P,X,P,X,P,C,X,X,C,X,X,X,R,R,C,X,X,P,X,X,P,X,X,X,P,P,X,X,X,X,R,X,X,X,P,X,X,X,C,X,X,X,P,X,X,X,X,P,X,X,X,P,P,C,X,X,X,X,X,X,C,X,X,X,X,P,R,X,X,X,X,X,X,C,C,P,X,X,X,X,X,X,X,X,X,X,P,X,X,C,C,X,X,X,R,X,X,R,R,X,X,X,P,X,X,X,X,X,X,P,X,X,X,P,X,X,R,X,X,X,P,X,P,X,R,X,X,X,X,P,X,X,C,X,X,X,R,X,X,X,X,X,X,X,X,X,P,X,X,X,R,X,X,P,X,R,X,X,X,P,X,X,X,X,X,12,12,25,49
148,149,149,X,X,X,C,R,X,C,X,X,C,R,X,C,X,X,X,R,R,R,X,X,C,P,X,C,P,X,X,X,R,X,P,C,X,P,X,R,C,C,X,X,X,R,X,X,X,R,X,X,R,X,R,R,P,X,R,X,C,C,X,X,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,R,C,C,R,R,X,X,X,X,X,X,X,X,C,X,X,R,X,X,X,R,C,X,X,R,C,X,X,X,X,X,R,X,X,X,R,X,X,X,X,P,X,X,C,X,C,X,X,X,X,X,P,P,X,X,X,X,X,X,C,X,X,P,C,X,X,X,R,X,X,X,X,R,C,X,X,X,X,X,X,R,X,R,P,X,X,R,X,X,X,X,X,21,28,10,59
149,150,150,X,X,C,R,R,X,P,X,P,C,C,X,P,X,X,X,R,P,C,X,R,R,C,X,R,R,X,X,R,P,X,R,P,X,X,X,P,X,P,X,X,X,R,X,X,X,C,X,X,R,R,R,R,P,X,P,R,C,C,X,X,X,X,P,R,X,X,X,R,R,P,R,X,X,X,X,X,R,P,R,P,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,P,X,X,P,C,X,X,C,X,C,P,X,X,X,R,X,C,X,X,P,X,C,R,X,R,X,X,X,X,C,R,X,P,X,X,P,X,X,P,X,X,X,R,X,X,X,R,X,X,X,R,X,R,X,X,X,X,X,X,R,X,C,P,X,X,R,X,X,X,X,X,17,32,22,71
150,151,151,X,X,R,P,X,X,X,X,X,R,P,X,P,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,P,X,X,X,R,X,X,X,X,C,X,X,X,X,X,C,X,X,X,X,X,X,P,X,X,X,X,X,R,X,X,X,X,X,X,R,X,R,X,X,C,R,X,X,X,X,X,X,P,R,X,X,P,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,R,X,X,X,X,X,X,R,X,P,X,C,X,C,X,X,R,X,X,R,P,X,X,X,C,X,R,X,X,X,P,X,X,X,R,X,X,X,X,C,P,X,X,X,X,X,X,X,X,9,15,12,36
151,152,152,X,X,C,P,R,X,C,X,X,P,X,P,X,X,P,X,X,X,R,X,X,P,X,X,P,X,X,X,R,P,C,X,P,X,R,X,X,X,R,X,X,X,R,X,X,C,C,X,X,X,X,R,P,R,X,R,X,C,R,X,P,X,X,X,R,X,X,X,X,X,R,X,X,C,X,X,X,R,X,R,X,X,X,X,X,C,X,X,X,X,C,X,X,R,C,X,X,C,R,X,X,C,P,X,X,X,X,C,X,X,X,C,C,X,X,X,X,X,X,R,R,C,X,X,X,X,X,X,R,X,C,C,X,C,X,X,R,X,R,X,R,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,R,X,R,P,C,X,P,X,X,X,X,X,20,26,13,59
152,153,153,X,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,R,C,X,X,X,X,X,X,X,X,X,X,X,P,X,X,C,C,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,R,X,X,X,C,X,C,X,X,X,X,X,X,P,X,X,X,R,X,X,X,C,X,X,X,X,P,R,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,X,C,R,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,X,C,11,12,6,29
153,154,154,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,P,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,6,1,6,13
154,155,155,X,X,X,X,P,X,X,X,X,C,X,X,P,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,P,R,X,X,X,X,X,X,X,X,X,X,X,X,C,P,X,X,R,X,X,X,X,C,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,C,C,X,X,X,X,R,X,X,X,X,X,X,C,P,X,C,C,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,R,X,X,X,R,X,X,X,X,X,X,X,X,X,X,C,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,R,X,X,X,X,X,12,10,7,29
155,156,156,X,X,R,X,X,X,X,C,X,X,X,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,C,C,X,X,X,X,X,X,X,C,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,C,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,R,X,X,X,X,X,X,X,X,X,19,5,0,24
156,157,157,X,X,C,C,R,X,X,X,X,C,X,X,P,X,R,X,X,X,R,X,X,C,X,X,X,X,X,X,P,R,X,X,R,X,X,X,R,P,R,X,X,X,C,X,X,C,R,X,X,X,X,C,X,X,X,R,X,C,X,X,C,X,X,X,R,X,X,X,X,P,R,X,X,X,X,X,X,R,R,R,X,R,X,X,X,C,X,X,X,X,C,X,X,R,C,X,X,R,R,X,X,C,P,X,X,X,X,C,X,X,X,X,R,X,X,X,X,X,X,X,R,R,X,R,X,C,X,X,R,X,X,X,X,X,X,X,R,X,R,X,R,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,R,X,X,X,R,X,X,X,X,X,15,30,5,50
157,158,158,X,X,R,P,P,X,P,X,X,C,X,X,P,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,P,X,X,X,X,C,X,X,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,X,X,X,P,X,C,X,X,R,X,X,X,R,X,X,X,X,X,R,X,X,X,X,X,P,C,P,X,X,C,P,X,X,X,X,X,X,X,R,X,X,C,C,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,R,X,R,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,11,11,13,35
158,159,159,X,X,X,X,X,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,P,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,C,X,C,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,R,X,X,X,X,X,X,X,X,X,5,7,5,17
159,160,160,X,X,C,P,X,X,P,X,X,C,X,X,P,X,P,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,C,X,R,X,X,X,X,X,X,X,X,X,R,P,X,X,R,X,X,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,R,C,X,X,X,X,X,X,X,C,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,C,X,X,X,P,X,R,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,C,X,X,X,X,X,X,P,R,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,P,X,C,X,X,X,11,8,12,31
160,161,161,X,X,X,X,X,X,X,X,X,X,P,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4,3,1,8
161,162,163,X,X,X,P,X,X,X,X,X,R,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,R,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,4,6,4,14
162,163,162,X,P,C,R,X,X,P,C,X,C,P,P,P,X,P,X,X,X,C,C,X,C,X,X,X,X,X,X,R,X,X,X,C,X,R,X,X,X,X,X,X,X,C,X,X,X,R,X,X,P,X,R,X,X,X,X,P,C,X,X,X,X,X,X,R,C,X,X,X,X,P,X,X,C,X,X,C,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,R,R,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,C,C,P,X,X,R,X,X,R,X,X,X,X,C,R,X,C,X,X,X,X,X,X,P,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,R,R,X,X,P,X,X,X,X,X,16,17,15,48
163,164,165,X,X,X,P,X,X,R,X,X,R,P,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,R,X,X,X,R,X,X,X,X,R,X,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,X,P,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,R,X,X,X,P,X,X,R,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,X,X,X,X,X,2,14,6,22
164,165,164,X,R,X,C,C,X,P,X,X,C,R,C,C,X,R,X,X,R,P,X,X,P,X,X,X,X,X,X,C,R,C,X,R,X,X,X,X,X,X,X,X,C,C,X,X,X,C,X,X,X,X,C,X,X,X,X,X,C,P,X,X,X,X,C,C,X,X,X,X,X,P,X,X,X,X,X,X,C,X,P,X,R,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,R,X,C,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,C,X,X,X,C,X,X,C,C,X,X,X,X,X,X,C,X,X,X,C,X,X,C,X,X,R,X,X,X,R,X,X,X,P,X,C,X,X,C,X,X,X,P,X,X,X,X,X,29,10,8,47
